organization_id,name,organization_type,target_lists,status,city,website,linkedin_url,source_kind,source_url,discovered_at,last_updated_at,notes
org-comcast,Comcast,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"Philadelphia, PA (On-site)",,,linkedin_job,https://www.linkedin.com/jobs/view/4395959457/,2026-04-16T22:35:44+00:00,2026-04-16T22:35:44+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=queued | latest_date_found=2026-04-07
org-billiontoone,BillionToOne,company,referrals;linkedin,Outreach in progress,,,,linkedin,https://www.linkedin.com/search/results/people/,2026-04-17T02:20:31+00:00,2026-04-17T02:20:31+00:00,LinkedIn outreach send results tracked from invite-send-batch artifact.
org-siriusxm,SiriusXM,company,referrals;linkedin,Outreach in progress,,,,linkedin,https://www.linkedin.com/search/results/people/,2026-04-17T02:21:31+00:00,2026-04-17T02:21:31+00:00,LinkedIn outreach send results tracked from invite-send-batch artifact.
org-s-p-global,S&P Global,company,referrals;linkedin,Outreach in progress,,,,linkedin,https://www.linkedin.com/search/results/people/,2026-04-17T02:23:12+00:00,2026-04-17T02:23:12+00:00,LinkedIn outreach send results tracked from invite-send-batch artifact.
org-retry-batch,retry-batch,company,referrals;linkedin,Outreach in progress,,,,linkedin,https://www.linkedin.com/search/results/people/,2026-04-17T02:28:40+00:00,2026-04-17T02:28:40+00:00,LinkedIn outreach send results tracked from invite-send-batch artifact.
org-mindfort-ai-yc-x25,MindFort AI (YC X25),company,referrals;linkedin,Outreach in progress,,,,linkedin,https://www.linkedin.com/search/results/people/,2026-04-21T00:53:42+00:00,2026-04-21T00:53:42+00:00,LinkedIn outreach send results tracked from invite-send-batch artifact.
org-pebl,Pebl,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"Palo Alto, CA (Hybrid)",,,linkedin_job,https://www.linkedin.com/jobs/view/4418511510/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-27
org-flairx,FlairX,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"San Francisco, CA (Remote)",,,linkedin_job,https://www.linkedin.com/jobs/view/4417579331/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-27
org-shield-ai,Shield AI,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"San Francisco, CA (On-site)",,,linkedin_job,https://www.linkedin.com/jobs/view/4418485210/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-25
org-lovart-ai,Lovart AI,company,jobs;resume_generator;pre_apply,Pre-apply outreach,United States (Remote),,,linkedin_job,https://www.linkedin.com/jobs/view/4418927504/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-25
org-etched,Etched,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"San Jose, CA (On-site)",,,linkedin_job,https://www.linkedin.com/jobs/view/4416977860/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-25
org-coupang,Coupang,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"Mountain View, CA (Hybrid)",,,linkedin_job,https://www.linkedin.com/jobs/view/4416374847/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-25
org-nova-sky-stories,Nova Sky Stories,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"Boulder, CO (On-site)",,,linkedin_job,https://www.linkedin.com/jobs/view/4417476131/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-25
org-dassault-syst-mes,Dassault Systèmes,company,jobs;resume_generator;pre_apply,Pre-apply outreach,"Waltham, MA (Hybrid)",,,linkedin_job,https://www.linkedin.com/jobs/view/4408074071/,2026-05-27T12:01:10+00:00,2026-05-27T12:01:10+00:00,Imported from ResumeGenerator v1 jobs.xlsx | latest_resume_status=generated | latest_date_found=2026-05-25
org-deel,Deel,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/deel,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=W2019 | team_size=5,000 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=hr-tech,saas,payroll,fintech | description=Deel is the all-in-one payroll and HR platform for global teams. Built for the way the world works today, Deel combines HRIS, payroll, compliance, benefits, performance, and equipment management into one seamless platform. With AI-powered tools and a fully owned payroll infrastructure, Deel supports every worker type in 120+ countries—helping businesses scale smarter, faster, and more compliantly. Discover how Deel makes global work simple at deel.com. b2b"
org-faire,Faire,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/faire,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=W2017 | team_size=900 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=marketplace,retail | description=Faire is an innovative online marketplace that uses machine learning to match local retailers with the brands and products that uniquely fit their stores. We are using the power of technology to connect brands and independent retailers from all over the world, building a thriving community of hundreds of thousands of retailers, which has resulted in over 7 million new connections to date. Faire was founded on the belief that the future of retail is local. Our mission is to empower brands and retailers to strengthen the unique character of local communities. Our data-driven approach unburdens retailers from decades-old obstacles by helping find the right products for their shop. Plus, our straight-forward financial terms level the playing field by eliminating inventory risk and providing access to capital—key offerings previously only available to big box chains. For brands, our platform provides powerful sales, marketing, and analytics tools that simplify their business and allow them to focus on what they love: making great products."
org-clipboard,Clipboard,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/clipboard,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=W2017 | team_size=1,000 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=health-tech,healthcare,consumer-health-services,marketplace | description=Our Why At Clipboard, our mission is to uplift as many communities as possible. We do this by connecting professionals with the workplaces that need amazing workers, helping people achieve financial stability for themselves and their families all across the U.S. Our How Clipboard is an app-based marketplace where workplaces post calls for help and workers answer. Every year, we help hundreds of thousands of workers fill millions of shifts across the U.S. We’re the leader in Long-Term Care staffing and are rapidly expanding into Home Health, Hospitals, and more. Our Team Founded in 2016, we are a remote-first team of over 1,000 people working to uplift communities across the country."
org-rippling,Rippling,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/rippling,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=W2017 | team_size=2,500 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=hr-tech | description=Rippling gives businesses one place to run HR, IT, and Finance. It brings together all of the workforce systems that are normally scattered across a company, like payroll, expenses, benefits, and computers. For the first time ever, you can manage and automate every part of the employee lifecycle in a single system. Take onboarding, for example. With Rippling, you can hire a new employee anywhere in the world and set up their payroll, corporate card, computer, benefits, and even third-party apps like Slack and Microsoft 365—all within 90 seconds. Based in San Francisco, CA, Rippling has raised $1.2B from the world’s top investors—including Kleiner Perkins, Founders Fund, Sequoia, Greenoaks and Bedrock."
org-scale-ai,Scale AI,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/scale-ai,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2016 | team_size=500 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=artificial-intelligence,machine-learning | description=Scale accelerates the development of AI within organizations of any size to deliver critical business insights and operational efficiency. Its data-centric infrastructure platform leverages RLHF (Reinforced Learning with Human Feedback) to help organizations build the strongest AI models that supercharge their business, with customers across industries including Meta, Microsoft, U.S. Army, DoD’s Defense Innovation Unit, Open AI, General Motors, Toyota Research Institute, Brex, Instacart and Flexport."
org-checkr,Checkr,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/checkr,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2014 | team_size=800 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=compliance,enterprise-software,api,hr-tech,artificial-intelligence | description=Checkr builds people infrastructure for the future of work. And we believe everyone should have a fair chance to work. That's why we've designed a faster—and fairer—way to screen job seekers. For more information on our mission and products, visit https://checkr.com."
org-webflow,Webflow,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/webflow,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2013 | team_size=600 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=saas,marketing,design | description=Webflow is the leading no-code visual web development platform. It seamlessly generates sophisticated code so anyone can build powerful web-based businesses and adapt to changes without developers or months of building. From entrepreneurs and creative agencies to Fortune 500 companies, Webflow makes the internet a more inclusive place by making the tools to build on it more accessible to more people, fueling business growth. Webflow powers websites for innovators like Discord, Monday.com, IDEO, Orange Theory Fitness, TED, and Dropbox. Webflow is backed by Y Combinator, Accel, CapitalG, Silversmith, and other awesome investors."
org-doordash,DoorDash,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/doordash,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2013 | team_size=8,600 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=e-commerce,marketplace | description=Founded in 2013, DoorDash is a San Francisco-based technology company passionate about transforming local businesses and dedicated to enabling new ways of working, earning, and living. Today, DoorDash connects customers with their favorite local and national restaurants in more than 600 cities across the United States and Canada. By building intelligent, last-mile delivery technology for local cities, DoorDash aims to connect people with the things they care about — one dash at a time. Read more at blog.doordash.com, and find us on Glassdoor."
org-instacart,Instacart,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/instacart,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2012 | team_size=3,000 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=e-commerce,grocery,delivery | description=Instacart is the North American leader in online grocery and one of the fastest-growing companies in e-commerce. Instacart’s same-day delivery and pickup services bring fresh groceries and everyday essentials to busy people and families across the U.S. and Canada in as fast as an hour. Since its founding in 2012, Instacart has become an essential service for millions of families, while also serving as an immediate, flexible earnings opportunity for hundreds of thousands of shoppers across North America. The company partners with more than 350 retailers and delivers from more than 25,000 stores across more than 5,500 cities in North America. Today, Instacart is accessible to more than 85% of households in the U.S. and more than 70% of households in Canada."
org-mixpanel,Mixpanel,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/mixpanel,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2009 | team_size=410 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=analytics,databases,cloud-computing,data-visualization | description=Mixpanel is analytics for builders that need answers from their data at their fingertips. When everyone in the organization can see — and learn from — the impact of their work, they are poised to make better decisions. Companies like OpenAI, Netflix, Pinterest, sweetgreen, CNN, samsara, Uber, and Yelp use Mixpanel to understand their customers, measure progress, and endeavor to make better decisions. b2b"
org-stripe,Stripe,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/stripe,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=S2009 | team_size=7,000 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=fintech,banking-as-a-service,saas | description=Launched out of Y Combinator’s 2009 Summer batch, Stripe is a global technology company that builds economic infrastructure for the internet. Businesses of every size—from new startups to public companies—use our software to accept payments and manage their businesses online Stripe is a proud partner of YC companies—from Airbnb (S09) to Defog (W23)—to help them grow their businesses and increase the GDP of the internet."
org-amplitude,Amplitude,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/amplitude,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=W2012 | team_size=750 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=analytics,data-visualization,developer-tools,marketing | description=Since graduating from YC, Amplitude (W12) has made it to IPO and beyond by helping cutting edge startups become category leaders. We’ve pioneered the digital analytics category to become the go-to solution for AI pioneers (Cruise, Midjourney), apps that touch millions of consumers (Doordash, Coinbase), and the best in B2B (Atlassian, Rippling, Canva). With product analytics, experiment, CDP, session replay, and more, Amplitude’s digital analytics platform shows you what your users love, where they’re getting stuck, and what keeps them coming back. You want to build a generational business, and we have the capabilities and pricing plans to guide you every step of the way. Check out our special deal for YC companies and get started on your analytics journey. b2b"
org-deep-interactions,Deep Interactions,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/deep-interactions,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=4 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=artificial-intelligence,team-collaboration,saas,generative-ai,developer-tools | description=Deep Interactions is a humans-in-the-loop AI builder. We don't leave you with a spaghetti mess of a code. We bring product intelligence and power the context layer that enables your team to build in sync - saving companies tokens, time, and nerves. You give us a problem and we ship a working AI product in the same afternoon."
org-arlo-industries,Arlo Industries,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/arlo-industries,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=3 employees | location=San Francisco | jobs_count=1 | tags=aerospace,security,drones,hard-tech,radar | description=Arlo Industries is building a network of sensors that precisely tracks stealthy drones and aerial threats better than radars. This capability does not exist yet because traditional radars are built on past war doctrines designed to protect single, centralised assets. Modern warfare, however, demands wide-area, persistent coverage that is both passive and economically scalable. By utilising a mesh architecture, Arlo Industries unlocks unprecedented asymmetric economics. The network is fundamentally built to scale: the cost of adding sensors grows linearly, but the tracking accuracy increases exponentially, delivering highly resilient, persistent coverage for a fraction of the cost of legacy systems. Deo founded Arlo Industries after spending over 6 years in the Israeli defence ecosystem, where he lived through multiple conflicts and experienced the Iron Dome and other systems in action against ICBMs and the infamous Shahed drones. Learning exactly how these defence systems could be improved after a Shahed exploded close to his apartment, he built Arlo Industries around the core philosophy that conflict should be concise & precise. The people behind Arlo1 includes a PhD in drones and autonomy and military experts. Arlo Industries has actively showcased this technology directly to Ukrainian militaries on the frontlines, as well as to operators across Europe and the USA."
org-aseon-labs,Aseon Labs,startup,yc;startup;sf;hiring,Researching,Redwood City,,,yc_directory,https://www.ycombinator.com/companies/aseon-labs,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=5 employees | location=Redwood City, CA, USA | jobs_count=1 | tags=self-driving-vehicles,machine-learning,robotics,hardware,artificial-intelligence | description=Aseon Labs builds robotic pitstops for self-driving cars. A depot in a box for charging, cleaning & inspecting autonomous fleets directly in operating zones. Autonomous driving is working. The operational layer around it is not. Today, fleets lose significant time and money traveling to centralized depots for charging, cleaning and servicing, creating dead miles, lower uptime and operational bottlenecks that limit fleet scale. Aseon Pods are modular, rapidly deployable robotic pitstops that keep autonomous fleets operating near demand. By bringing charging, cleaning and inspection directly into operating zones, we help fleet operators increase uptime, reduce operational overhead and scale markets more efficiently without relying on large centralized depots. We’re second-time founders and mobility infrastructure operators. Previously, we built and scaled Pushme to 5,000 stations across 40 cities before its acquisition by TIER–Dott ($600M raised). Aseon Labs is backed by Y Combinator and headquartered in Redwood City."
org-the-company-company,The Company Company,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/the-company-company,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,batch=P2026 | team_size=1 employees | location=San Francisco | jobs_count=1 | description=The Company Company builds the agent and the infrastructure to run companies.
org-synphony,Synphony,startup,yc;startup;sf;hiring,Researching,San Carlos,,,yc_directory,https://www.ycombinator.com/companies/synphony,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=10 employees | location=San Carlos, CA, USA | jobs_count=1 | tags=robotics,food-service-robots-&-machines,agriculture,saas | description=Strawberry farming is a $3B industry in California alone with 60% labor cost using 40-year old software. Synphony provides strawberry picking robots and software services including: bed-level analytics, data pipeline integration, and agentic solutions. Synphony's ""side hustle"" is selling data, evals, and viral demos to robot foundation labs while building capacity for general robot deployments. We've started with strawberry farming for great margins and outdoor data moat, but also received requests for robots in semi-conductors and autonomous space labs. Synphony's team has won over 15 hackathons together (taking home 4 Jensen-signed GPUs!). Sean did ML research at NVIDIA and led AI products used by IRS and Citibank. Lucas' research spanned robotics, IoT devices, and neuromorphic computing. Alex architected an app with 400k users."
org-anoria,ANORIA,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/anoria,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=5 employees | location=San Francisco | jobs_count=1 | tags=artificial-intelligence,consumer-products,consumer-health-services,hardware,mental-health-tech | description=We've spent decades tracking everything. Sleep. Recovery. Steps. All proxies for how we feel. Performance is 90% mental. And yet no one has built the feedback loop for our emotions. We close that loop by designing a device that understands how you feel, tells you why, and what you can do about it. Emotional intelligence becomes trainable, so you can better connect and create with those around you."
org-hedge,Hedge,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/hedge,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=2 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=insurance,fintech,artificial-intelligence | description=Hedge is an AI-Native specialty insurance company. We help insurance brokers find faster, cheaper, and better coverage for their customers. b2b"
org-intelligence-factory,Intelligence Factory,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/intelligence-factory,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=5 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=robotics,ai | description=Robotics is the new paradigm. With hardware converging, Intelligence is the biggest bottleneck. Our world was built for humans and we're giving robots the ability to reason and act like us. The way we learn any task - by seeing, doing, and feeling - is how we train robots. We're building general intelligence that works on any robot and fits seamlessly within our world."
org-bloom,Bloom,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/trybloom,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=3 employees | location=San Francisco | jobs_count=1 | description=Bloom is the brand layer for agents - a system that holds your brand and makes it callable from any agent, app, or platform. Ingest your brand from anywhere - decks, websites, social, Figma, and more. Bloom systemises your brand, enabling the creation of on-brand outputs like images, video, video, copy, and more, through the web app, the API, or MCP. We're building brand-as-infrastructure for the AI era."
org-eden-robotics,Eden Robotics,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/eden-robotics,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=4 employees | location=San Francisco, CA, USA | jobs_count=1 | tags=automation,robotics,robotic-process-automation,ai | description=We're building robots that just work and use them to deliver autonomous services at scale. Our first use case is semi-humanoid robots for manufacturing and logistics. Unlike traditional robotics companies, we don't sell robots, we provide physical agents for hire where companies pay for the robots based on usage, decreasing the barrier to entry and expanding the robotics market as a whole."
org-tasklet,Tasklet,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/tasklet-2,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | team_size=8 employees | location=San Francisco | jobs_count=1 | description=AI chatbots can answer questions, but they can't do your work — they aren't connected to your tools, can't take actions, and stop running when you close the tab. Meanwhile, knowledge workers are still spending most of their day switching between dozens of SaaS apps, manually stitching together workflows that should be automated. Tasklet is the AI agent that actually does the work. It connects to every tool you use — via thousands of built-in integrations, any HTTP API, or MCP servers — and takes real actions on your behalf: pulling reports, updating CRMs, triaging emails, processing data, and more. When it needs a UI, it generates one on the fly. When it needs to crunch numbers or do bulk operations, it writes and runs code in a cloud sandbox. When it needs to interact with a website that doesn't have an API, it uses a real browser. And because it runs in the cloud 24/7, you can set up triggers to have it take ongoing responsibility for workflows — not just do something once, but handle it going forward. The product is deliberately simple: a chat interface where you talk to an extremely capable agent. But underneath that simplicity is a cloud-native agent runtime, best-in-class context engineering, a universal connections layer, and multi-model support that keeps us on the frontier as AI improves. We think legacy SaaS is being unbundled by agents, and Tasklet is the operating system that ties it all together."
org-biostack-platforms,BioStack Platforms,startup,yc;startup;sf;hiring,Researching,San Francisco,,,yc_directory,https://www.ycombinator.com/companies/biostack-platforms,2026-05-27T12:03:06+00:00,2026-05-27T12:03:06+00:00,"batch=P2026 | location=San Francisco | jobs_count=1 | description=BioStack is building the data engine for healthcare and drug discovery AI. The bottleneck is not models. It is access to high-quality biological data. Clinical and experimental data is fragmented, unstructured, and locked inside hospitals, labs, and CROs, while generating new data is slow and expensive. BioStack fixes this with proprietary clinical and preclinical data pipelines that turn real biomedical workflows into ML-ready training environments. We structure longitudinal multimodal data across imaging, EHR, and experimental assays, then package it for post-training and reinforcement learning so models can learn how research and care actually happen. Instead of static datasets, BioStack gives AI labs workflow-aligned data and environments that improve reasoning, decision-making, and real-world performance in biology and medicine."
